method,seed,avg_acc_all_tasks,avg_acc_last_20_tasks,bwt
online_sgd,42,0.24373799351640046,0.2749430303030303,-0.2024828482848285
experience_replay,42,0.8207119810070842,0.9793723232323233,0.17944194419441942
two_token_transformer,42,0.8598359790828078,0.9704829292929293,0.12796391639163915
two_token_transformer,123,0.8574879793405533,0.9661936363636364,0.12988616861686167
two_token_transformer,456,0.8595759791903198,0.9715039393939394,0.12689252925292527
pi_transformer,42,0.7751539796769619,0.8825726262626263,0.15079857985798578
pi_transformer,123,0.7567379802335054,0.8672375757575758,0.15588052805280528
pi_transformer,456,0.7792899795886129,0.8930803030303031,0.1526935093509351
