method,avg_acc_all_tasks,avg_acc_last_20_tasks,bwt
pi_transformer,0.7425859807353467,0.8797569696969697,0.18735615561556157
experience_replay,0.75795798105672,0.9588622222222222,0.23928970897089707
two_token_transformer,0.8346479862291366,0.9696272727272728,0.15486492649264927
online_sgd,0.3290919911522418,0.41966666666666663,-0.2724794079407941
